stream_id,user_id,track_id,stream_date,stream_time,hour_of_day,device_type,stream_duration_sec,completed,skipped,replayed,added_to_playlist
STR_20240123_11914,USER_0002,TRK_9996,1/23/2024,21:28:20,21,Mobile,450,TRUE,FALSE,FALSE,FALSE
STR_20240312_09814,USER_0003,TRK_5915,3/12/2024,1:25:18,1,Smart Speaker,450,TRUE,FALSE,FALSE,TRUE
STR_20240505_75761,USER_0008,TRK_7362,5/5/2024,17:13:52,17,Desktop,450,TRUE,FALSE,TRUE,FALSE
STR_20240512_51362,USER_0043,TRK_6181,5/12/2024,12:23:33,12,Mobile,149,FALSE,TRUE,FALSE,FALSE
STR_20240426_49106,USER_0063,TRK_7484,4/26/2024,13:07:12,13,Smart Speaker,450,TRUE,FALSE,FALSE,TRUE
STR_20240621_32233,USER_0066,TRK_1583,6/21/2024,19:45:44,19,Mobile,202,FALSE,TRUE,FALSE,FALSE
STR_20240303_40768,USER_0067,TRK_3637,3/3/2024,2:56:52,2,Desktop,450,TRUE,FALSE,FALSE,FALSE
STR_20240326_95837,USER_0068,TRK_9419,3/26/2024,8:52:54,8,Desktop,450,TRUE,FALSE,FALSE,FALSE
STR_20240324_24967,USER_0075,TRK_1774,3/24/2024,17:55:25,17,Mobile,450,TRUE,FALSE,FALSE,FALSE
STR_20240213_38550,USER_0079,TRK_7508,2/13/2024,6:28:52,6,Mobile,450,TRUE,FALSE,FALSE,FALSE
STR_20240406_27854,USER_0100,TRK_5560,4/6/2024,11:28:51,11,Mobile,275,FALSE,TRUE,FALSE,FALSE
STR_20240511_38519,USER_0113,TRK_7257,5/11/2024,20:49:09,20,Smart Speaker,234,FALSE,TRUE,FALSE,FALSE
STR_20240223_24264,USER_0123,TRK_2916,2/23/2024,23:33:55,23,Mobile,295,FALSE,TRUE,FALSE,TRUE
STR_20240321_21860,USER_0128,TRK_8439,3/21/2024,2:26:26,2,Desktop,182,FALSE,TRUE,FALSE,FALSE
STR_20240522_62887,USER_0131,TRK_2486,5/22/2024,18:44:46,18,Mobile,450,TRUE,FALSE,FALSE,FALSE
STR_20240403_94341,USER_0134,TRK_3401,4/3/2024,20:13:19,20,Desktop,197,FALSE,TRUE,FALSE,FALSE
