user_id,user_type,user_age_group,geographic_region,is_quebec_resident
USER_0002,Premium,18-24,Toronto,FALSE
USER_0003,Premium,35-44,New York City,FALSE
USER_0008,Free,35-44,Montreal,TRUE
USER_0043,Premium,45+,Toronto,FALSE
USER_0063,Premium,35-44,New York City,FALSE
USER_0066,Premium,25-34,Vancouver,FALSE
USER_0067,Free,25-34,Toronto,FALSE
USER_0068,Free,45+,Los Angeles,FALSE
USER_0075,Free,45+,Los Angeles,FALSE
USER_0079,Premium,45+,Montreal,TRUE
USER_0100,Free,35-44,Vancouver,FALSE
USER_0113,Premium,35-44,Los Angeles,FALSE
USER_0123,Free,18-24,Los Angeles,FALSE
USER_0128,Free,45+,Los Angeles,FALSE
USER_0131,Free,45+,New York City,FALSE
USER_0134,Premium,25-34,Montreal,TRUE
USER_0139,Premium,35-44,New York City,FALSE
USER_0140,Premium,35-44,New York City,FALSE
USER_0150,Premium,45+,London,FALSE
USER_0187,Free,45+,New York City,FALSE
USER_0196,Premium,45+,Montreal,TRUE
USER_0200,Premium,25-34,Toronto,FALSE
USER_0206,Premium,45+,London,FALSE
USER_0212,Free,25-34,Los Angeles,FALSE
USER_0217,Premium,35-44,New York City,FALSE
USER_0224,Free,25-34,Vancouver,FALSE
USER_0229,Free,35-44,Vancouver,FALSE
USER_0235,Premium,45+,London,FALSE
USER_0240,Free,25-34,Toronto,FALSE
USER_0248,Premium,25-34,London,FALSE
USER_0252,Premium,45+,London,FALSE
USER_0267,Free,35-44,New York City,FALSE
USER_0271,Free,45+,Los Angeles,FALSE
USER_0274,Free,18-24,Vancouver,FALSE
USER_0288,Premium,45+,London,FALSE
USER_0311,Premium,45+,Toronto,FALSE
USER_0367,Premium,45+,Vancouver,FALSE
USER_0375,Premium,45+,Los Angeles,FALSE
USER_0379,Premium,25-34,London,FALSE
USER_0386,Free,45+,New York City,FALSE
USER_0422,Premium,35-44,Los Angeles,FALSE
USER_0426,Free,25-34,Los Angeles,FALSE
USER_0429,Premium,45+,New York City,FALSE
USER_0435,Free,45+,New York City,FALSE
USER_0437,Free,18-24,Montreal,TRUE
USER_0447,Premium,45+,Los Angeles,FALSE
USER_0455,Free,35-44,Montreal,TRUE
USER_0464,Premium,25-34,Montreal,TRUE
USER_0490,Premium,45+,Vancouver,FALSE
USER_0502,Premium,35-44,London,FALSE
USER_0548,Free,18-24,Montreal,TRUE
USER_0557,Premium,25-34,Toronto,FALSE
USER_0569,Premium,35-44,Toronto,FALSE
USER_0577,Free,35-44,Vancouver,FALSE
USER_0579,Free,35-44,Toronto,FALSE
USER_0582,Free,35-44,London,FALSE
USER_0588,Premium,45+,New York City,FALSE
USER_0612,Free,35-44,New York City,FALSE
USER_0626,Premium,45+,Montreal,TRUE
USER_0632,Free,45+,New York City,FALSE
USER_0638,Premium,35-44,Toronto,FALSE
USER_0654,Free,45+,Montreal,TRUE
USER_0677,Premium,45+,London,FALSE
USER_0682,Free,45+,Toronto,FALSE
USER_0696,Premium,35-44,Los Angeles,FALSE
USER_0701,Premium,45+,New York City,FALSE
USER_0714,Premium,18-24,Los Angeles,FALSE
USER_0723,Free,45+,Vancouver,FALSE
USER_0736,Premium,25-34,London,FALSE
USER_0750,Free,35-44,Montreal,TRUE
USER_0763,Free,45+,Los Angeles,FALSE
USER_0786,Free,45+,London,FALSE
USER_0791,Free,35-44,Montreal,TRUE
USER_0802,Free,18-24,Montreal,TRUE
USER_0816,Premium,35-44,New York City,FALSE
USER_0817,Free,45+,Vancouver,FALSE
USER_0823,Free,45+,London,FALSE
USER_0855,Free,35-44,Toronto,FALSE
USER_0858,Premium,25-34,Toronto,FALSE
USER_0862,Free,45+,Montreal,TRUE
USER_0863,Free,45+,New York City,FALSE
USER_0866,Premium,25-34,New York City,FALSE
USER_0873,Premium,35-44,Los Angeles,FALSE
USER_0880,Premium,45+,London,FALSE
USER_0883,Premium,18-24,London,FALSE
USER_0885,Free,45+,Toronto,FALSE
USER_0891,Free,25-34,Toronto,FALSE
USER_0894,Free,45+,Toronto,FALSE
USER_0900,Free,25-34,London,FALSE
USER_0904,Premium,45+,Los Angeles,FALSE
USER_0932,Premium,25-34,Vancouver,FALSE
USER_0944,Free,45+,London,FALSE
USER_0963,Free,45+,Los Angeles,FALSE
USER_0964,Premium,45+,London,FALSE
USER_0978,Premium,45+,Montreal,TRUE
USER_0990,Free,35-44,Toronto,FALSE
USER_0991,Premium,35-44,Vancouver,FALSE
USER_1006,Free,45+,Montreal,TRUE
USER_1037,Free,35-44,New York City,FALSE
USER_1045,Premium,45+,Toronto,FALSE
USER_1061,Free,45+,Vancouver,FALSE
USER_1075,Free,45+,London,FALSE
USER_1077,Premium,45+,London,FALSE
USER_1086,Free,45+,Toronto,FALSE
USER_1115,Premium,45+,Montreal,TRUE
USER_1116,Premium,45+,Vancouver,FALSE
USER_1135,Free,45+,Vancouver,FALSE
USER_1173,Free,35-44,London,FALSE
USER_1177,Premium,25-34,London,FALSE
USER_1190,Premium,35-44,London,FALSE
USER_1201,Free,45+,Montreal,TRUE
USER_1204,Free,45+,London,FALSE
USER_1209,Free,18-24,Toronto,FALSE
USER_1211,Premium,18-24,Vancouver,FALSE
USER_1226,Premium,35-44,New York City,FALSE
USER_1241,Free,45+,New York City,FALSE
USER_1246,Premium,25-34,London,FALSE
USER_1248,Premium,25-34,New York City,FALSE
USER_1249,Premium,45+,Toronto,FALSE
USER_1253,Free,18-24,Los Angeles,FALSE
USER_1260,Free,35-44,London,FALSE
USER_1275,Premium,25-34,Los Angeles,FALSE
USER_1284,Free,45+,Toronto,FALSE
USER_1289,Premium,45+,Los Angeles,FALSE
USER_1304,Free,45+,Montreal,TRUE
USER_1310,Premium,45+,New York City,FALSE
USER_1317,Premium,45+,London,FALSE
USER_1339,Free,45+,Toronto,FALSE
USER_1340,Free,45+,Los Angeles,FALSE
USER_1352,Premium,45+,Vancouver,FALSE
USER_1353,Free,45+,Los Angeles,FALSE
USER_1367,Premium,45+,London,FALSE
USER_1376,Free,25-34,Toronto,FALSE
USER_1378,Premium,25-34,Los Angeles,FALSE
USER_1387,Free,35-44,Vancouver,FALSE
USER_1407,Premium,45+,London,FALSE
USER_1415,Free,45+,Los Angeles,FALSE
USER_1418,Premium,25-34,Montreal,TRUE
USER_1427,Free,25-34,Los Angeles,FALSE
USER_1432,Premium,35-44,New York City,FALSE
USER_1441,Free,45+,London,FALSE
USER_1442,Free,45+,London,FALSE
USER_1445,Premium,45+,New York City,FALSE
USER_1453,Free,35-44,Toronto,FALSE
USER_1464,Premium,35-44,Toronto,FALSE
USER_1465,Free,35-44,London,FALSE
USER_1471,Premium,45+,New York City,FALSE
USER_1481,Premium,45+,Los Angeles,FALSE
USER_1482,Free,35-44,Montreal,TRUE
USER_1485,Premium,35-44,Vancouver,FALSE
USER_1494,Premium,45+,Vancouver,FALSE
USER_1500,Premium,45+,Vancouver,FALSE
USER_1526,Premium,35-44,Toronto,FALSE
USER_1553,Premium,25-34,New York City,FALSE
USER_1558,Premium,45+,Los Angeles,FALSE
USER_1568,Premium,45+,New York City,FALSE
USER_1569,Free,45+,Vancouver,FALSE
USER_1580,Premium,25-34,Los Angeles,FALSE
USER_1591,Free,45+,Toronto,FALSE
